,class,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
0,p,15.26,x,g,o,f,e,c,w,16.95,17.09,s,y,w,u,w,t,g,k,d,w
1,p,16.6,x,g,o,f,e,c,w,17.99,18.19,s,y,w,u,w,t,g,k,d,u
2,p,14.07,x,g,o,f,e,c,w,17.8,17.74,s,y,w,u,w,t,g,k,d,w
3,p,14.17,f,h,e,f,e,c,w,15.77,15.98,s,y,w,u,w,t,p,k,d,w
4,p,14.64,x,h,o,f,e,c,w,16.53,17.2,s,y,w,u,w,t,p,k,d,w
5,p,15.34,x,g,o,f,e,c,w,17.84,18.79,s,y,w,u,w,t,p,k,d,u
6,p,14.85,f,h,o,f,e,c,w,17.71,16.89,s,y,w,u,w,t,g,k,d,w
7,p,14.86,x,h,e,f,e,c,w,17.03,17.44,s,y,w,u,w,t,p,k,d,u
8,p,12.85,f,g,o,f,e,c,w,17.27,18.69,s,y,w,u,w,t,p,k,d,a
9,p,13.55,f,g,e,f,e,c,w,16.04,16.88,s,y,w,u,w,t,p,k,d,w
10,p,14.17,f,h,e,f,e,c,w,17.86,18.02,s,y,w,u,w,t,p,k,d,a
11,p,13.4,x,h,o,f,e,c,w,17.95,17.14,s,y,w,u,w,t,p,k,d,u
12,p,17.37,x,h,o,f,e,c,w,18.1,18.27,s,y,w,u,w,t,g,k,d,u
13,p,16.56,x,h,o,f,e,c,w,18.89,18.11,s,y,w,u,w,t,p,k,d,u
14,p,15.37,x,h,e,f,e,c,w,18.19,18.38,s,y,w,u,w,t,g,k,d,a
15,p,15.54,f,h,e,f,e,c,w,18.26,17.87,s,y,w,u,w,t,p,k,d,a
16,p,15.19,x,g,e,f,e,c,w,17.42,17.67,s,y,w,u,w,t,p,k,d,a
17,p,17.4,x,h,o,f,e,c,w,18.48,18.54,s,y,w,u,w,t,p,k,d,a
18,p,16.16,x,g,o,f,e,c,w,19.46,18.9,s,y,w,u,w,t,p,k,d,w
19,p,16.93,x,h,e,f,e,c,w,18.31,17.81,s,y,w,u,w,t,p,k,d,u
